symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOGL,2020-09-25 00:00:00+00:00,1439.06,1445.94,1407.68,1425.05,1516677,71.953,72.297,70.384,71.2525,30333540,0.0,1.0
GOOGL,2020-09-28 00:00:00+00:00,1458.66,1472.99,1446.28,1471.99,1539236,72.933,73.6495,72.314,73.5995,30784720,0.0,1.0
GOOGL,2020-09-29 00:00:00+00:00,1466.02,1472.0,1454.0,1463.91,1591112,73.301,73.6,72.7,73.1955,31822240,0.0,1.0
GOOGL,2020-09-30 00:00:00+00:00,1465.6,1486.1975,1455.755,1460.935,2046170,73.28,74.309875,72.78775,73.04675,40923400,0.0,1.0
GOOGL,2020-10-01 00:00:00+00:00,1487.9,1495.07,1476.8,1483.6608,1644221,74.395,74.7535,73.84,74.18304,32884420,0.0,1.0
GOOGL,2020-10-02 00:00:00+00:00,1455.6,1479.03,1447.35,1459.63,1561132,72.78,73.9515,72.3675,72.9815,31222640,0.0,1.0
GOOGL,2020-10-05 00:00:00+00:00,1482.83,1484.7,1460.09,1462.65,1080058,74.1415,74.235,73.0045,73.1325,21601160,0.0,1.0
GOOGL,2020-10-06 00:00:00+00:00,1451.02,1484.52,1445.01,1475.5,1304752,72.551,74.226,72.2505,73.775,26095040,0.0,1.0
GOOGL,2020-10-07 00:00:00+00:00,1459.14,1468.97,1433.23,1459.31,1805448,72.957,73.4485,71.6615,72.9655,36108960,0.0,1.0
GOOGL,2020-10-08 00:00:00+00:00,1483.43,1488.0275,1465.45,1465.45,1303802,74.1715,74.401375,73.2725,73.2725,26076040,0.0,1.0
GOOGL,2020-10-09 00:00:00+00:00,1510.45,1511.85,1487.0,1492.86,1648340,75.5225,75.5925,74.35,74.643,32966800,0.0,1.0
GOOGL,2020-10-12 00:00:00+00:00,1564.59,1588.42,1529.3,1538.0,2767164,78.2295,79.421,76.465,76.9,55343280,0.0,1.0
GOOGL,2020-10-13 00:00:00+00:00,1567.07,1585.16,1558.63,1577.01,1953609,78.3535,79.258,77.9315,78.8505,39072180,0.0,1.0
GOOGL,2020-10-14 00:00:00+00:00,1563.44,1583.85,1545.895,1574.6,1659228,78.172,79.1925,77.29475,78.73,33184560,0.0,1.0
GOOGL,2020-10-15 00:00:00+00:00,1555.47,1571.395,1541.1301,1544.5,1561485,77.7735,78.56975,77.056505,77.225,31229700,0.0,1.0
GOOGL,2020-10-16 00:00:00+00:00,1567.7,1577.71,1557.66,1561.83,1710325,78.385,78.8855,77.883,78.0915,34206500,0.0,1.0
GOOGL,2020-10-19 00:00:00+00:00,1529.95,1583.925,1522.92,1575.93,1486652,76.4975,79.19625,76.146,78.7965,29733040,0.0,1.0
GOOGL,2020-10-20 00:00:00+00:00,1551.08,1573.84,1520.5,1523.11,2085915,77.554,78.692,76.025,76.1555,41718300,0.0,1.0
GOOGL,2020-10-21 00:00:00+00:00,1585.99,1615.14,1567.135,1569.85,3016053,79.2995,80.757,78.35675,78.4925,60321060,0.0,1.0
GOOGL,2020-10-22 00:00:00+00:00,1606.66,1613.42,1577.48,1585.0,1525773,80.333,80.671,78.874,79.25,30515460,0.0,1.0
GOOGL,2020-10-23 00:00:00+00:00,1632.98,1634.12,1611.91,1615.05,1527402,81.649,81.706,80.5955,80.7525,30548040,0.0,1.0
GOOGL,2020-10-26 00:00:00+00:00,1584.29,1629.58,1567.78,1615.0,1791317,79.2145,81.479,78.389,80.75,35826340,0.0,1.0
GOOGL,2020-10-27 00:00:00+00:00,1598.88,1602.0,1576.99,1588.9319,1295138,79.944,80.1,78.8495,79.446595,25902760,0.0,1.0
GOOGL,2020-10-28 00:00:00+00:00,1510.8,1553.81,1508.48,1550.01,2258675,75.54,77.6905,75.424,77.5005,45173500,0.0,1.0
GOOGL,2020-10-29 00:00:00+00:00,1556.88,1588.735,1516.55,1517.02,2770343,77.844,79.43675,75.8275,75.851,55406860,0.0,1.0
GOOGL,2020-10-30 00:00:00+00:00,1616.11,1681.315,1601.57,1667.44,4996197,80.8055,84.06575,80.0785,83.372,99923940,0.0,1.0
GOOGL,2020-11-02 00:00:00+00:00,1624.32,1658.24,1614.24,1623.54,2211449,81.216,82.912,80.712,81.177,44228980,0.0,1.0
GOOGL,2020-11-03 00:00:00+00:00,1645.66,1659.0,1612.108,1630.76,1571641,82.283,82.95,80.6054,81.538,31432820,0.0,1.0
GOOGL,2020-11-04 00:00:00+00:00,1745.85,1770.03,1703.0,1705.5803,3567149,87.2925,88.5015,85.15,85.279015,71342980,0.0,1.0
GOOGL,2020-11-05 00:00:00+00:00,1762.5,1791.818,1741.03,1770.45,1987907,88.125,89.5909,87.0515,88.5225,39758140,0.0,1.0
